Transactions for Checking 0947
Posted Date,Transaction Date,Transaction Type,Check/Serial #,Full description,Merchant name,Category name,Sub-category name,Amount,Daily Posted Balance
08/11/2025,08/11/2025,Debit,975007,Check #975007,,Cash & Checks,,($250.00),$4196.73
08/12/2025,08/12/2025,Deposit,,DEPOSIT,,Deposits,,$150.00,$4346.73
08/14/2025,08/14/2025,Debit,,EDI PYMNTS NATIONWIDE INS FLEX0010669241 INTERNET PAYMENT,Nationwide Mutual,Insurance,,($1349.00),$2997.73
08/21/2025,08/21/2025,FEE,,SERVICE CHARGES - PRIOR PERIOD,,Taxes & Fees,,($5.00),$2992.73
09/15/2025,09/15/2025,Debit,975008,Check #975008,,Cash & Checks,,($250.00),$2742.73
09/22/2025,09/22/2025,FEE,,SERVICE CHARGES - PRIOR PERIOD,,Taxes & Fees,,($5.00),$2737.73
10/10/2025,10/10/2025,Debit,975009,Check #975009,,Cash & Checks,,($250.00),$2487.73
10/21/2025,10/21/2025,FEE,,SERVICE CHARGES - PRIOR PERIOD,,Taxes & Fees,,($5.00),$2482.73

Transactions for Savings 9625
Posted Date,Transaction Date,Transaction Type,Check/Serial #,Full description,Merchant name,Category name,Sub-category name,Amount,Daily Posted Balance
07/31/2025,07/31/2025,Credit,,INTEREST PAYMENT,,Savings & Investments,,$0.08,$9189.76
08/29/2025,08/29/2025,Credit,,INTEREST PAYMENT,,Savings & Investments,,$0.08,$9189.84
09/30/2025,09/30/2025,Credit,,INTEREST PAYMENT,,Savings & Investments,,$0.08,$9189.92

